ugonjwa,mahojiano
Pneumonia,"Nimekuwa nikipata baridi, nahisi uchovu, na siwezi kutikisa kikohozi hiki. Kifua changu kinauma na moyo wangu unahisi kama unaenda mbio kwa maili milioni kwa saa ninapokohoa. Ninakohoa kohozi lenye kutu."
Pneumonia,Nina wakati mgumu wa kupumua na ninajisikia vibaya sana. Ninatokwa na jasho jingi na kuna kohozi nyingi kwenye koo langu. Kifua kinaniuma na moyo unapiga kwa kasi. Kamasi ninakohoa ni kahawia.
Pneumonia,"Nina shida kupumua na sina raha kabisa. Ninatokwa na jasho jingi na kamasi nyingi kooni. Kifua kinauma, na moyo unaenda mbio. Ninakohoa ute mweusi."
Pneumonia,"Nina homa kali na siwezi kupata pumzi yangu. Nimekuwa nikitokwa na jasho jingi na kwa ujumla ninahisi mgonjwa na dhaifu. Pia nimekuwa na kohozi nene na nyeusi. Kifua kinauma, na moyo wangu umekuwa ukinienda mbio kwa kasi."
Pneumonia,"Hivi majuzi nimekuwa nikipata baridi, uchovu, kikohozi, homa kali, na shida ya kupumua. Nimekuwa nikitokwa na jasho jingi na kujihisi mgonjwa na kuishiwa nguvu. Pia nimekuwa na kohozi ambalo limekuwa nene na giza."
Pneumonia,"Hivi majuzi nimekuwa nikiugua baridi, uchovu, kikohozi, joto la juu, na shida ya kupumua. Nimekuwa nikitokwa na jasho jingi na kwa ujumla ninahisi mgonjwa na dhaifu. Pia nimekuwa na kohozi nene na nyeusi."
Pneumonia,"Hivi majuzi nimekuwa nikipata baridi, uchovu, kikohozi, homa kali, na shida ya kupumua. Nimekuwa nikitokwa na jasho jingi na kujihisi mgonjwa na kuishiwa nguvu. Pia nimekuwa na kohozi ambalo limekuwa nene na giza."
Pneumonia,"Hivi majuzi nimekuwa nikiugua baridi, uchovu, kikohozi, joto la juu, na shida ya kupumua. Nimekuwa nikitokwa na jasho jingi na kwa ujumla ninahisi mgonjwa na dhaifu. Pia nimekuwa na phlegm nene na nyekundu."
Pneumonia,"Nimekuwa na baridi, uchovu, kikohozi, joto la juu, na shida ya kupumua hivi majuzi. Nimekuwa nikitokwa na jasho jingi na kwa ujumla ninahisi mgonjwa na dhaifu. Pia nimekuwa na kohozi nene na nyeusi."
Pneumonia,"Nimekuwa na matatizo mengi ya kupumua hivi majuzi pamoja na baridi, uchovu, kikohozi, na joto la juu. Nimekuwa nikitokwa na jasho jingi na kwa ujumla ninahisi mgonjwa na dhaifu. Kifua kinauma, na moyo wangu umekuwa ukinienda mbio kwa kasi."
Pneumonia,"Nimekuwa nikiteseka na baridi, uchovu, na kikohozi hivi karibuni. Nimekuwa nikitokwa na jasho sana na kujisikia vibaya na dhaifu kwa ujumla. Pia nimekuwa na kohozi nene, nyeusi. Kifua kinauma, na moyo umekuwa ukinienda mbio."
Pneumonia,"Ninapata halijoto na siwezi kupata pumzi yangu. Nimekuwa nikitokwa na jasho sana na kujisikia vibaya na dhaifu kwa ujumla. Pia nimekuwa na kohozi nene, nyeusi. Moyo wangu umekuwa ukipiga sana, na kifua changu kinauma."
Pneumonia,"Nimelowa jasho na ninaonekana kushindwa kupumua. Koo langu limefungwa na kamasi, na nina huzuni. Moyo wangu unaenda mbio, na kifua kinauma. Ninakohoa kamasi yenye nyuzi za hudhurungi."
Pneumonia,"Nimeshiba jasho na ninatatizika kupumua. Koo yangu imefungwa na mucous, na sina raha. Moyo wangu unaenda mbio, na kifua kinauma. Ninakohoa ute mweusi wa nyuzi."
Pneumonia,"Nina matatizo mengi ya kupumua. Sijisikii vizuri, na ninatokwa na jasho sana. Nina mucous nyingi kwenye koo langu na kifua changu kinaumiza. Kupumua kwangu kuna taabu, na kohozi ninalokohoa lina rangi isiyo ya kawaida."
Pneumonia,"Nina shida sana kupumua. Sijisikii vizuri, na ninatokwa na jasho sana. Kifua changu kinauma, na nina kamasi nyingi kwenye koo langu. Ninatatizika kupumua, na kohozi ninalokohoa lina rangi ya ajabu."
Pneumonia,"Nimekuwa nikikohoa sana na nahisi baridi sana na nimechoka. Nina homa kali sana, na ni vigumu kwangu kupumua. Nimekuwa nikitokwa na jasho sana na kwa ujumla ninahisi dhaifu na mgonjwa. Nimekuwa na kohozi nene na nyeusi."
Pneumonia,"Hivi majuzi nimekuwa na baridi, uchovu, kikohozi, joto la juu, na matatizo ya kupumua. Nimekuwa nikitokwa na jasho sana na kwa ujumla ninahisi dhaifu na mgonjwa. Nimekuwa na kohozi nene na nyeusi. Moyo wangu umekuwa ukienda kasi sana."
Malaria,"Nimekuwa nikipata kuwashwa sana, baridi, kutapika, na homa kali. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Ninahisi kichefuchefu na misuli yangu inauma sana"
Malaria,"Nimekuwa na joto la juu, kutapika, baridi, na kuwashwa sana. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Nina wasiwasi, na misuli yangu inauma sana."
Malaria,"Kuwashwa sana, baridi, kichefuchefu, na halijoto ya juu imekuwa ikinisumbua. Licha ya kuumwa na kichwa, pia ninatokwa na jasho sana. Misuli yangu inauma sana, na ninahisi mgonjwa."
Malaria,"Pamoja na mikwaruzo yangu mikali, baridi, kichefuchefu, na homa kali, pia nimekuwa nikijisikia vibaya sana. Pamoja na maumivu ya kichwa na kutokwa na jasho kupita kiasi, Misuli yangu inauma sana, na ninajihisi mshituko."
Malaria,"Nimekuwa na homa kali, baridi, na kuwashwa sana. Isitoshe, ninaumwa na kichwa na kutokwa na jasho sana. Misuli yangu inauma sana, na ninahisi mgonjwa."
Malaria,"Nimekuwa na kuwashwa sana mwili mzima, ikifuatana na baridi na kutapika. Homa yangu imepanda sana na nimekuwa nikitokwa na jasho kupita kiasi. Pia nina maumivu ya kichwa na kuhisi kichefuchefu. Misuli yangu inauma sana."
Malaria,"Nimekuwa nikipata kuwashwa sana kwa mwili, baridi, na kutapika. Nina homa kali sana, na nimekuwa nikitokwa na jasho sana. Pia ninahisi kutetemeka na maumivu ya kichwa. Misuli yangu iko kwenye usumbufu mwingi."
Malaria,"Pamoja na kuwashwa sana kwa mwili, baridi, na kichefuchefu, nimekuwa nikiona. Nimekuwa nikitokwa na jasho sana na nina homa kali sana. Ninahisi wasiwasi na pia nina maumivu ya kichwa. Kweli misuli inayoumiza ni mimi."
Malaria,"Nimekuwa nikipata kuwashwa sana kwa mwili, baridi, na kutapika. Nina homa kali sana, na nimekuwa nikitokwa na jasho sana. Pia ninahisi kutetemeka na maumivu ya kichwa. Misuli yangu iko kwenye usumbufu mwingi."
Malaria,"Nimekuwa nikipata kuwashwa sana kwa mwili, pamoja na baridi na kichefuchefu. Nimekuwa nikitokwa na jasho sana na nina homa kali sana. Ninahisi kuumwa na tumbo na maumivu ya kichwa. Misuli yangu inauma sana."
Malaria,"Ninasumbuliwa na kuwashwa sana, baridi, kutapika, na homa kali. Pia nimekuwa nikitokwa na jasho sana na kuumwa na kichwa. Kichefuchefu na maumivu ya misuli pia yamekuwa yakinisumbua."
Malaria,"Nina homa kali, kuwashwa sana, baridi, na kutapika. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Zaidi ya hayo kuniumiza kumekuwa kichefuchefu na maumivu ya misuli."
Malaria,"Nina joto la juu, kutapika, baridi, na kuwashwa sana. Isitoshe, nimekuwa nikitokwa na jasho sana na kuumwa na kichwa. Pia nimekuwa nikisumbuliwa na kichefuchefu na maumivu ya misuli."
Malaria,"Kuwashwa sana, baridi, kichefuchefu, na homa kali ni sehemu ya hali yangu ya sasa. Mbali na kuumwa na kichwa, nimekuwa nikitokwa na jasho sana. Nimekuwa nikisumbuliwa na kichefuchefu pamoja na maumivu ya misuli."
Malaria,"Nina homa kali, baridi, na kuwashwa sana. Isitoshe, ninaumwa na kichwa na nimekuwa nikitokwa na jasho sana. Pia nimekuwa nikisumbuliwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, kuwashwa sana, baridi, na kutapika. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Zaidi ya hayo kuniumiza kumekuwa kichefuchefu na maumivu ya misuli."
Malaria,"Nina joto la juu, kutapika, baridi, na kuwashwa sana. Isitoshe, nimekuwa nikitokwa na jasho sana na kuumwa na kichwa. Pia nimekuwa nikisumbuliwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa nikipata kuwashwa sana, baridi, kutapika, na homa kali. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Kichefuchefu na maumivu ya misuli pia yamekuwa yakiniletea usumbufu."
Malaria,"Nimekuwa na joto la juu, kutapika, baridi, na kuwashwa sana. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Usumbufu wangu pia umeletwa na kichefuchefu na maumivu ya misuli."
Malaria,"Kuwashwa sana, baridi, kichefuchefu, na halijoto ya juu imekuwa ikinisumbua. Pamoja na kuumwa na kichwa, pia ninatokwa na jasho sana. Pia nimekuwa nikisumbuliwa na kichefuchefu na maumivu ya misuli."
Malaria,"Pamoja na mikwaruzo yangu mikali, baridi, kichefuchefu, na homa kali, pia nimekuwa nikijisikia vibaya sana. Ninaumwa na kichwa na pia ninatokwa na jasho sana. Nimekuwa na wasiwasi kutokana na kichefuchefu na maumivu ya misuli, pia."
Malaria,"Nimekuwa na homa kali, baridi, na kuwashwa sana. Isitoshe, ninaumwa na kichwa na kutokwa na jasho sana. Nimekuwa nikisumbuliwa na kichefuchefu pamoja na maumivu ya misuli."
Malaria,"Nimekuwa na joto la juu, kutapika, baridi, na kuwashwa sana. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Usumbufu wangu pia umeletwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa na kuwashwa sana, baridi, kutapika, na homa kali. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Kichefuchefu na maumivu ya misuli yamekuwa yakinifanya nijisikie vibaya."
Malaria,"Nimekuwa nikipata mikwaruzo mingi, baridi, kutapika, na homa. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Nimekuwa mbaya kwa kichefuchefu na maumivu katika misuli yangu."
Malaria,"Nimepata kuwashwa sana, baridi, kichefuchefu, na homa kali. Licha ya kuumwa na kichwa, pia ninatokwa na jasho sana. Nimekuwa mbaya kwa kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, baridi, na kuwashwa sana. Pamoja na maumivu ya kichwa na kutokwa na jasho kupita kiasi, nimekuwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, baridi, na kuwashwa sana. Isitoshe, ninaumwa na kichwa na kutokwa na jasho sana. Nimekuwa nikijisikia vibaya sana kwa kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa nikipata kuwashwa sana, baridi, kutapika, na homa kali. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Kichefuchefu na maumivu ya misuli yamekuwa yakiniletea usumbufu mwingi."
Malaria,"Nimekuwa na joto la juu, kutapika, baridi, na kuwashwa sana. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Nimekuwa na wasiwasi sana hivi majuzi kutokana na kichefuchefu na maumivu ya misuli."
Malaria,"Kuwashwa sana, baridi, kichefuchefu, na halijoto ya juu imekuwa ikinisumbua. Licha ya kuumwa na kichwa, pia ninatokwa na jasho sana. Nimekuwa nikisumbuliwa na maumivu makali ya misuli na kichefuchefu."
Malaria,"Pamoja na mikwaruzo yangu mikali, baridi, kichefuchefu, na homa kali, pia nimekuwa nikijisikia vibaya sana. Pamoja na maumivu ya kichwa na kutokwa na jasho kupita kiasi, nimekuwa nikisumbuliwa na maumivu makali ya misuli na kichefuchefu."
Malaria,"Nimekuwa na homa kali, baridi, na kuwashwa sana. Isitoshe, ninaumwa na kichwa na kutokwa na jasho sana. Nimekuwa katika uchungu mwingi kutokana na maumivu ya misuli na kichefuchefu."
Malaria,"Nimekuwa na kuwashwa sana, baridi, kutapika, na homa kali. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Kichefuchefu na maumivu ya misuli pia yamekuwa yakinisumbua."
Malaria,"Nimekuwa nikipata mikwaruzo mingi, baridi, kutapika, na homa. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Zaidi ya hayo kuniumiza kumekuwa kichefuchefu na maumivu ya misuli."
Malaria,"Nimepata kuwashwa sana, baridi, kichefuchefu, na homa kali. Pamoja na kuumwa na kichwa, pia ninatokwa na jasho sana. Pia nimekuwa nikisumbuliwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, baridi, na kuwashwa sana. Ninaumwa na kichwa na pia ninatokwa na jasho sana. Nimekuwa nikisumbuliwa na kichefuchefu pamoja na maumivu ya misuli."
Malaria,"Nimekuwa nikipata kuwashwa sana, baridi, kutapika, na homa kali. Isitoshe, ninaumwa na kichwa na kutokwa na jasho sana. Pia nimekuwa nikisumbuliwa na kichefuchefu na maumivu ya misuli."
Malaria,"Ninaugua kuwashwa sana, baridi, kutapika, na homa kali. Pia nimekuwa nikitokwa na jasho sana na kuumwa na kichwa. Kichefuchefu na maumivu ya misuli pia yamekuwa yakiniletea usumbufu."
Malaria,"Nina homa kali, kuwashwa sana, baridi, na kutapika. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Usumbufu wangu pia umeletwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, kuwashwa sana, baridi, na kutapika. Isitoshe, nimekuwa nikitokwa na jasho sana na kuumwa na kichwa. Pia nimekuwa nikisumbuliwa na kichefuchefu na maumivu ya misuli."
Malaria,"Kuwashwa sana, baridi, kichefuchefu, na homa kali ni sehemu ya hali yangu ya sasa. Mbali na kuumwa na kichwa, nimekuwa nikitokwa na jasho sana. Nimekuwa na wasiwasi kutokana na kichefuchefu na maumivu ya misuli, pia."
Malaria,"Kuwashwa sana, baridi, kichefuchefu, na homa kali ni sehemu ya hali yangu ya sasa. Isitoshe, ninaumwa na kichwa na nimekuwa nikitokwa na jasho sana. Nimekuwa nikisumbuliwa na kichefuchefu pamoja na maumivu ya misuli."
Malaria,"Nina homa kali, kuwashwa sana, baridi, na kutapika. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Usumbufu wangu pia umeletwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa nikipata kuwashwa sana, baridi, kutapika, na homa kali. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Kichefuchefu na maumivu ya misuli yamekuwa yakinifanya nijisikie vibaya."
Malaria,"Kukuna sana, baridi, kichefuchefu, na joto la juu vimekuwa vikinisumbua. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Nimekuwa mbaya kwa kichefuchefu na maumivu katika misuli yangu."
Malaria,"Pamoja na homa kali, nimekuwa na baridi, kutapika, na kuwashwa sana. Licha ya kuumwa na kichwa, pia ninatokwa na jasho sana. Nimekuwa mbaya kwa kichefuchefu na maumivu ya misuli."
Malaria,"Pamoja na homa kali, nimekuwa na baridi, kutapika, na kuwashwa sana. Pamoja na maumivu ya kichwa na kutokwa na jasho kupita kiasi, nimekuwa nikihisi kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa na kuwashwa sana, baridi, kutapika, na homa kali. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Kichefuchefu na maumivu ya misuli pia yamekuwa yakiniletea usumbufu mwingi."
Malaria,"Pia nimepata baridi, kutapika, na kuwashwa sana pamoja na homa kali. Ninatokwa na jasho jingi na ninaumwa na kichwa. Nimekuwa na ugonjwa mbaya wa mwendo na maumivu ya misuli."
Malaria,"Pia nimepata baridi, kutapika, na kuwashwa sana pamoja na homa kali. Pamoja na maumivu ya kichwa na jasho jingi, pia nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nimekumbana na mikwaruzo mikali, baridi, kichefuchefu, na homa kali. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Mateso yangu pia yameongezeka sana na kichefuchefu na maumivu ya misuli."
Malaria,"Dalili zangu za sasa ni pamoja na homa kali, baridi kali, kuwashwa sana, na kichefuchefu. Pia nimekuwa nikitokwa na jasho sana na kuumwa na kichwa. Maumivu ya misuli na kichefuchefu vimekuwa vikinisumbua."
Malaria,"Ninatapika, nina homa kali, na kuwashwa na baridi kali. Nimekuwa nikitokwa na jasho sana na maumivu ya kichwa pia. Pamoja na kichefuchefu, pia nimekuwa nikipata maumivu ya misuli."
Malaria,"Kukuna sana, baridi, kichefuchefu, na joto la juu vimekuwa vikinisumbua. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Nimekuwa mbaya kwa kichefuchefu na maumivu katika misuli yangu."
Malaria,"Nimekuwa nikiteseka na mikwaruzo mikali, baridi, kichefuchefu, na joto la juu. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Nimekuwa mbaya sana."
Malaria,"Nimekuwa na joto la juu, kutapika, baridi, na kuwashwa sana. Pia ninaumwa na kichwa na kutokwa na jasho jingi. Zaidi ya hayo, nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, kuwashwa sana, baridi, na kutapika. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Usumbufu wangu pia umeletwa na kichefuchefu na maumivu ya misuli."
Malaria,"Ninatapika, nina homa kali, na kuwashwa na baridi kali. Nimekuwa nikitokwa na jasho sana na maumivu ya kichwa pia. Pamoja na kichefuchefu, pia nimekuwa nikipata maumivu ya misuli."
Malaria,"Ninatapika, nina homa kali, na kuwashwa na baridi kali. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Zaidi ya hayo, nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nina baridi, homa kali, na kuwashwa sana. Pia ninaumwa na kichwa na kutokwa na jasho jingi. Nimepata maumivu makali ya misuli na kichefuchefu."
Malaria,"Nimekuwa nikipata mikwaruzo mingi, baridi, kutapika, na homa. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Zaidi ya hayo kuniumiza kumekuwa kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa na homa, baridi, mikwaruzo mingi, na kutapika. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Pia nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, baridi, na kuwashwa sana. Ninaumwa na kichwa na kutokwa na jasho jingi. Zaidi ya hayo, nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nina baridi, homa kali, na kuwashwa sana. Pia ninaumwa na kichwa na kutokwa na jasho jingi. Nimepata maumivu makali ya misuli na kichefuchefu."
Malaria,"Nimekuwa nikipata mikwaruzo mingi, baridi, kutapika, na homa. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Zaidi ya hayo kuniumiza kumekuwa kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa na homa, baridi, mikwaruzo mingi, na kutapika. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Pia nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, baridi, na kuwashwa sana. Ninaumwa na kichwa na kutokwa na jasho jingi. Zaidi ya hayo, nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa na homa, baridi, mikwaruzo mingi, na kutapika. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Kichefuchefu changu na maumivu ya misuli yamekuwa ya kutisha."
Malaria,"Nina homa kali, baridi, na kuwashwa sana. Ninatokwa na jasho jingi na ninaumwa na kichwa. Nimekuwa na ugonjwa mbaya wa mwendo na maumivu ya misuli."
Malaria,"Ninahisi kuwashwa, kutetemeka, na homa. Pamoja na maumivu ya kichwa na jasho lisiloweza kudhibitiwa, pia nimekuwa na kichefuchefu na maumivu ya misuli."
Malaria,"Ninahisi kuwashwa, kutetemeka, na homa. Pia ninaumwa na kichwa na kutokwa na jasho jingi. Nimekuwa nikipata kichefuchefu kali na maumivu ya misuli."
Malaria,"Pia nimekuwa nikijisikia kuumwa sana, na mikwaruzo mikali, baridi, kichefuchefu, na homa kali. Ninatokwa na jasho jingi na maumivu ya kichwa. Nimepata kichefuchefu na maumivu ya misuli."
Malaria,"Nina baridi, homa kali, na kuwashwa sana. Pia ninaumwa na kichwa na kutokwa na jasho jingi. Maumivu ya misuli na kichefuchefu vimekuwa vikinisumbua."
Malaria,"Nina baridi, homa, kutapika, na kuwashwa sana. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Pamoja na kichefuchefu, pia nimekuwa nikipata maumivu ya misuli."
Malaria,"Nimekuwa nikipata mikwaruzo mingi, baridi, kutapika, na homa. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Nimekuwa nikihisi kutetemeka na kuwa na maumivu ya misuli."
Malaria,"Ninatapika, nahisi baridi, na nina joto la juu la mwili. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Zaidi ya hayo, nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nimekuwa na joto la juu, kutapika, baridi, na kuwashwa sana. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Usumbufu wangu pia umeletwa na kichefuchefu na maumivu ya misuli."
Malaria,"Nina baridi, homa, kutapika, na kuwashwa sana. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Pamoja na kichefuchefu, pia nimekuwa nikipata maumivu ya misuli."
Malaria,"Nimekuwa nikiteseka na kuwashwa sana, baridi, kichefuchefu, na joto la juu. Ninaumwa na kichwa na kutokwa na jasho jingi. Zaidi ya hayo, nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Nina homa kali, kuwashwa sana, baridi, na kutapika. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Zaidi ya hayo kuniumiza kumekuwa kichefuchefu na maumivu ya misuli."
Malaria,"Ninatapika, nina homa kali, na kuwashwa na baridi kali. Nimekuwa nikitokwa na jasho sana na maumivu ya kichwa pia. Pia nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Ninatapika, nahisi baridi, na nina joto la juu la mwili. Pia nina maumivu ya kichwa na nimekuwa nikitokwa na jasho sana. Zaidi ya hayo, nimekuwa nikipata kichefuchefu na maumivu ya misuli."
Malaria,"Dalili zangu za sasa ni pamoja na homa kali, baridi kali, kuwashwa sana, na kichefuchefu. Nimekuwa nikitokwa na jasho sana na maumivu ya kichwa. Maumivu ya misuli na kichefuchefu vyote vimenisumbua."
Malaria,"Nimekuwa nikipata baridi, mwili kuwashwa sana, na kichefuchefu. Nina homa kali sana na nimekuwa nikitokwa na jasho sana. Pia nina maumivu ya kichwa na ninahisi mgonjwa. Nina misuli inayouma sana."
Malaria,"Kuwashwa kupindukia kwa mwili, baridi, na kutapika kumekuwa kukiniandama. Nimekuwa nikitokwa na jasho sana na nina homa kali sana. Kwa kuongeza, mimi hupata maumivu ya kichwa na kujisikia mgonjwa. Misuli yangu iliniuma hadi kuniuma sana."
Malaria,"Pamoja na baridi na kichefuchefu, mwili wangu umekuwa ukiuma sana. Nina homa kali sana na nimekuwa nikitokwa na jasho sana. Nilipata maumivu ya kichwa na hisia mbaya tumboni mwangu. Misuli yangu ina maumivu makali."
Malaria,"Nimekuwa na joto la juu, kutapika, baridi, na kuwashwa sana. Pia nina maumivu ya kichwa na kutokwa na jasho sana. Nina wasiwasi, na misuli yangu inauma sana."
Malaria,"Nina baridi, homa, kutapika, na kuwashwa sana. Pia ninatokwa na jasho jingi na maumivu ya kichwa. Misuli yangu iliniuma sana, na nina kizunguzungu."
Malaria,"Nimekuwa nikiteseka na kuwashwa sana, baridi, kichefuchefu, na joto la juu. Ninatokwa na jasho jingi na ninaumwa na kichwa. Ninahisi mgonjwa, na misuli yangu inauma sana."
Malaria,"Pia nimekuwa nikijisikia kuumwa sana, na mikwaruzo mikali, baridi, kichefuchefu, na homa kali. Misuli yangu inauma sana, ninatokwa na jasho jingi, na maumivu ya kichwa juu ya hayo."
Malaria,"Nina baridi, homa kali, na kuwashwa sana. Pia ninaumwa na kichwa na kutokwa na jasho jingi. Najisikia vibaya kabisa na misuli yangu inauma sana."
Malaria,"Nimekuwa nikipata kuwashwa sana kwa mwili, baridi, na kutapika. Nina homa kali sana, na nimekuwa nikitokwa na jasho sana. Pia ninahisi kutetemeka na maumivu ya kichwa."
Malaria,"Nimekuwa nikipata kuwashwa sana kwa mwili, baridi, na kutapika. Nina homa kali sana, na nimekuwa nikitokwa na jasho sana. Pia ninahisi kutetemeka na maumivu ya kichwa. Misuli yangu iko kwenye usumbufu mwingi."
Malaria,"Kuwashwa kupindukia kwa mwili, baridi, na kutapika kumekuwa kukiniandama. Nimekuwa nikitokwa na jasho sana na nina homa kali sana. Kwa kuongeza, mimi hupata maumivu ya kichwa na kujisikia mgonjwa. Misuli yangu iliniuma hadi kuniuma sana."
Malaria,"Nimekuwa nikipata baridi, mwili kuwashwa sana, na kichefuchefu. Nina homa kali sana na nimekuwa nikitokwa na jasho sana. Pia nina maumivu ya kichwa na ninahisi mgonjwa. Nina misuli inayouma sana."
Malaria,"Nimekuwa nikiteseka na kuwashwa sana, baridi, kichefuchefu, na joto la juu. Ninatokwa na jasho jingi na ninaumwa na kichwa. Nimekuwa nikipata kichefuchefu kali na usumbufu wa misuli."
Malaria,"Pia nimekuwa nikijisikia kuumwa sana, na mikwaruzo mikali, baridi, kichefuchefu, na homa kali. Pamoja na maumivu ya kichwa na jasho lisiloweza kudhibitiwa, pia nimekuwa na maumivu makali ya misuli na kichefuchefu."
Malaria,"Ninatetemeka, homa, na mikwaruzo kwelikweli. Mbali na maumivu ya kichwa na kutokwa na jasho lisilodhibitiwa, pia nimekuwa nikipata kichefuchefu na maumivu makali ya misuli."
Typhoid,"Nina kuvimbiwa na maumivu ya tumbo, na imekuwa haifurahishi sana. Maumivu ya tumbo yamekuwa yakiongezeka na yanaanza kuathiri maisha yangu ya kila siku. Zaidi ya hayo, mimi hupata baridi kila usiku, ikifuatwa na homa kidogo."
Typhoid,"Pia nimekuwa na kuhara, ambayo imekuwa mbaya sana. Imekuwa ikija na kuondoka, na imekuwa ikiambatana na maumivu ya tumbo na uvimbe."
Typhoid,"Nimekuwa nikipata baridi na homa, pamoja na maumivu makali ya tumbo. Nimekuwa nikijisikia vibaya sana kwa ujumla, na siwezi kabisa kutikisa dalili hizi."
Typhoid,Nimekuwa nikipata shida sana kuweka maji kwa sababu ya kutapika na kuhara. Kuna homa kali pamoja na kuvimbiwa na maumivu ya kichwa
Typhoid,"Nimepungua uzito sana katika wiki iliyopita kwa sababu sijaweza kula sana kutokana na kichefuchefu na kutapika. Hii inafuatiwa na homa kidogo, maumivu ya kichwa na maumivu ya tumbo. Ninajali sana afya yangu."
Typhoid,"Uchovu umekuwa wa kusumbua sana, na nimepata shida nyingi kufanya shughuli zangu za kawaida. Pia nimekuwa nikihisi huzuni na hasira sana. Kuna maumivu kidogo katika sehemu ya tumbo."
Typhoid,"Nimekuwa na maumivu ya kichwa mfululizo kwa wiki iliyopita, na imekuwa ikizidi kuwa mbaya. Imefuatana na maumivu ya tumbo, kuvimbiwa na kuhara."
Typhoid,"Nimekuwa nikipata homa kali, haswa usiku. Imekuwa vibaya sana. Kuna maumivu ya kichwa kidogo pamoja na kuvimbiwa na kuhara."
Typhoid,"Nimekuwa nikipata shida sana kupumua, na ninahisi kama nina kichefuchefu kila wakati. Pia nina maumivu ya tumbo kidogo. Imekuwa ya kutisha wakati fulani."
Typhoid,"Kuhara kumekuwa na majimaji na harufu mbaya sana, na kumeambatana na maumivu ya tumbo. Ninahisi kutapika mara nyingi."
Typhoid,"Nimekuwa nikipata shida sana kulala kwa sababu ya homa kali, maumivu ya kichwa na baridi. Ninaamka kila siku nikiwa na maumivu makali kwenye eneo la tumbo langu."
